[2022-10-26 16:44:39,337] Pre-Condition - Step 01: Navigate to Login page
[2022-10-26 16:45:06,206] TC_02 - Step 15: Verify Total Price Product after edit info displayed 
[2022-10-26 16:45:06,273]  -------------------------- PASSED -------------------------- 
[2022-10-26 16:45:06,280] TC_03 - Step 01: Click to  Remove button
[2022-10-26 16:45:07,756] TC_03 - Step 02: Verify message shopping cart empty displayed 
[2022-10-26 16:45:07,819]  -------------------------- PASSED -------------------------- 
[2022-10-26 16:45:07,820] TC_03 - Step 03: Verify Product is Undisplayed at Shopping Cart 
[2022-10-26 16:45:18,150]  -------------------------- PASSED -------------------------- 
[2022-10-26 16:45:18,655] TC_04 - Step 01:  Open the desktops page
[2022-10-26 16:45:20,014] TC_04 - Step 02: Click to a product  at Categogy Page
[2022-10-26 16:45:20,112] TC_04 - Step 03: Verify add  to cart success message is displayed 
[2022-10-26 16:45:20,460]  -------------------------- PASSED -------------------------- 
[2022-10-26 16:45:20,460] TC_04 - Step 04: Click to close button
[2022-10-26 16:45:20,528] TC_04 - Step 05: Click to 'Shopping cart' link
[2022-10-26 16:45:22,144] TC_04 - Step 06: Edit quantity product
[2022-10-26 16:45:22,300] TC_04 - Step 07: Click to 'Update shopping cart' button
[2022-10-26 16:45:22,811] TC_04 - Step 08: Verify Total Price Product  after update info displayed 
[2022-10-26 16:45:22,867]  -------------------------- PASSED -------------------------- 
[2022-10-26 16:45:22,872] OS name = windows 10
[2022-10-26 16:45:22,872] Driver instance name = chromedriver: chrome on windows (0d5cbf4c58ffe598332090e6b368a61e)
